Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,CALPADS Fall 1 Certification Status (Y/N),,
2018-2019,49,70839,1,Sonoma,Oak Grove Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,Y,
2018-2019,49,70839,120584,Sonoma,Oak Grove Union Elementary,Pivot Online Charter - North Bay,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1139,Directly funded,Y,K,12,31,7,0,2,0,4,10,1,11,Y,
2018-2019,49,70839,138065,Sonoma,Oak Grove Union Elementary,Pivot Charter School - North Bay,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1985,Directly funded,Y,K,12,356,164,5,13,0,116,188,25,194,Y,
2018-2019,49,70839,6051882,Sonoma,Oak Grove Union Elementary,Oak Grove Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,K,82,11,1,0,0,17,20,5,22,Y,
2018-2019,49,70839,6051890,Sonoma,Oak Grove Union Elementary,Oak Grove Elementary/Willowside Middle,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,655,Locally funded,N,1,8,770,155,1,4,1,124,179,41,195,Y,
2018-2019,49,70847,1,Sonoma,Old Adobe Union,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0,0,0,1,1,0,1,Y,
2018-2019,49,70847,119750,Sonoma,Old Adobe Union,River Montessori Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1086,Directly funded,Y,K,6,181,17,0,0,0,36,45,29,58,Y,
2018-2019,49,70847,127555,Sonoma,Old Adobe Union,Loma Vista Immersion Academy,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1579,Locally funded,N,K,6,400,188,0,2,5,84,188,164,236,Y,
2018-2019,49,70847,6051916,Sonoma,Old Adobe Union,La Tercera Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,325,134,6,0,0,76,134,73,150,Y,
2018-2019,49,70847,6051924,Sonoma,Old Adobe Union,Old Adobe Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1423,Locally funded,N,K,6,328,69,0,0,2,44,71,23,77,Y,
2018-2019,49,70847,6072136,Sonoma,Old Adobe Union,Miwok Valley Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1424,Locally funded,N,K,6,325,254,2,0,4,119,255,152,268,Y,
2018-2019,49,70847,6114755,Sonoma,Old Adobe Union,Sonoma Mountain Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1450,Locally funded,N,K,6,454,64,2,1,0,39,68,25,78,Y,
2018-2019,49,70854,1,Sonoma,Petaluma City Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,1,1,0,1,Y,
2018-2019,49,70854,124339,Sonoma,Petaluma City Elementary,Sixth Grade Charter Academy at Petaluma Jr. High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1297,Locally funded,N,6,6,32,4,0,0,0,2,4,0,4,Y,
2018-2019,49,70854,132357,Sonoma,Petaluma City Elementary,South County Consortium,Elementary School District,Special Education Schools (Public),District Special Education Consortia School,N/A,No ,N/A,N/A,N,P,12,95,35,2,0,1,17,37,7,39,Y,
2018-2019,49,70854,6051940,Sonoma,Petaluma City Elementary,Grant Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,381,37,1,4,0,30,38,6,43,Y,
2018-2019,49,70854,6051957,Sonoma,Petaluma City Elementary,McDowell Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,251,221,0,32,3,100,222,191,239,Y,
2018-2019,49,70854,6051965,Sonoma,Petaluma City Elementary,McKinley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,324,131,0,2,2,57,132,99,144,Y,
2018-2019,49,70854,6051973,Sonoma,Petaluma City Elementary,McNear Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,366,89,1,1,1,53,90,54,98,Y,
2018-2019,49,70854,6051981,Sonoma,Petaluma City Elementary,Penngrove Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1512,Locally funded,N,K,6,396,108,6,0,1,67,111,20,118,Y,
2018-2019,49,70854,6051999,Sonoma,Petaluma City Elementary,Valley Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,280,136,0,3,1,73,136,78,139,Y,
2018-2019,49,70854,6119036,Sonoma,Petaluma City Elementary,Live Oak Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,382,Directly funded,Y,K,8,291,38,2,2,0,30,48,4,49,Y,
2018-2019,49,70862,1,Sonoma,Petaluma Joint Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,9,0,0,0,7,9,2,9,Y,
2018-2019,49,70862,128157,Sonoma,Petaluma Joint Union High,Gateway to College Academy,High School District,High Schools (Public),Traditional,N/A,Yes,1541,Locally funded,N,9,12,66,19,0,0,0,12,19,0,19,Y,
2018-2019,49,70862,131961,Sonoma,Petaluma Joint Union High,Petaluma Accelerated Charter,High School District,Junior High Schools (Public),Traditional,N/A,Yes,1726,Locally funded,N,7,8,110,28,0,0,0,17,29,4,29,Y,
2018-2019,49,70862,138560,Sonoma,Petaluma Joint Union High,Crossroads,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,9,5,4,0,0,0,2,4,0,4,Y,
2018-2019,49,70862,4930012,Sonoma,Petaluma Joint Union High,Casa Grande High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,724",621,2,24,1,272,627,136,649,Y,
2018-2019,49,70862,4930103,Sonoma,Petaluma Joint Union High,Carpe Diem High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,27,14,0,1,0,11,14,1,14,Y,
2018-2019,49,70862,4930111,Sonoma,Petaluma Joint Union High,Sonoma Mountain High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,31,19,0,2,0,13,19,2,19,Y,
2018-2019,49,70862,4930236,Sonoma,Petaluma Joint Union High,Valley Oaks High (Alternative),High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,36,8,0,0,0,4,8,0,8,Y,
2018-2019,49,70862,4935151,Sonoma,Petaluma Joint Union High,Petaluma High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,371",339,1,15,1,178,345,72,361,Y,
2018-2019,49,70862,4935862,Sonoma,Petaluma Joint Union High,San Antonio High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,84,60,1,6,0,31,63,13,67,Y,
2018-2019,49,70862,6051932,Sonoma,Petaluma Joint Union High,Mary Collins Charter School at Cherry Valley,High School District,Elementary Schools (Public),Traditional,N/A,Yes,480,Locally funded,N,K,8,390,69,0,0,0,50,69,7,70,Y,
2018-2019,49,70862,6060230,Sonoma,Petaluma Joint Union High,Petaluma Junior High,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,585,174,0,6,1,85,176,56,186,Y,
2018-2019,49,70862,6062137,Sonoma,Petaluma Joint Union High,Kenilworth Junior High,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,895,349,2,13,4,157,352,153,369,Y,
2018-2019,49,70870,101253,Sonoma,Piner-Olivet Union Elementary,Jack London Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,279,81,5,0,1,73,116,66,143,Y,
2018-2019,49,70870,106344,Sonoma,Piner-Olivet Union Elementary,Northwest Prep Charter,Elementary School District,High Schools (Public),Traditional,N/A,Yes,526,Directly funded,N,7,12,117,44,0,0,0,39,57,19,62,Y,
2018-2019,49,70870,6066344,Sonoma,Piner-Olivet Union Elementary,Olivet Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1440,Directly funded,N,K,6,319,103,3,0,3,92,147,66,161,Y,
2018-2019,49,70870,6109144,Sonoma,Piner-Olivet Union Elementary,Morrice Schaefer Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1439,Directly funded,N,K,6,345,167,0,0,2,107,199,89,224,Y,
2018-2019,49,70870,6113492,Sonoma,Piner-Olivet Union Elementary,Piner-Olivet Charter,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,98,Directly funded,N,6,8,201,78,0,0,0,42,93,59,115,Y,
2018-2019,49,70888,6052013,Sonoma,Kashia Elementary,Kashia Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,15,14,0,8,0,5,14,1,15,Y,
2018-2019,49,70896,1,Sonoma,Rincon Valley Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,0,0,0,1,1,0,1,Y,
2018-2019,49,70896,102525,Sonoma,Rincon Valley Union Elementary,Rincon Valley Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,525,Locally funded,N,K,8,361,81,1,1,1,55,87,21,97,Y,
2018-2019,49,70896,120980,Sonoma,Rincon Valley Union Elementary,Rincon Valley Partnership,Elementary School District,Special Education Schools (Public),District Special Education Consortia School,N/A,No ,N/A,N/A,N,P,6,70,40,0,1,0,20,40,13,44,Y,
2018-2019,49,70896,6052021,Sonoma,Rincon Valley Union Elementary,Madrone Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,419,162,1,2,2,99,164,63,178,Y,
2018-2019,49,70896,6052039,Sonoma,Rincon Valley Union Elementary,Spring Creek Matanzas Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1105,Locally funded,N,K,6,533,248,5,3,1,126,252,71,269,Y,
2018-2019,49,70896,6052047,Sonoma,Rincon Valley Union Elementary,Whited Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1259,Locally funded,N,K,6,406,192,2,0,5,123,192,77,222,Y,
2018-2019,49,70896,6052054,Sonoma,Rincon Valley Union Elementary,Sequoia Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,400,52,1,0,0,36,53,21,67,Y,
2018-2019,49,70896,6052070,Sonoma,Rincon Valley Union Elementary,Village Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1257,Locally funded,N,K,6,364,162,2,3,0,81,164,72,182,Y,
2018-2019,49,70896,6085229,Sonoma,Rincon Valley Union Elementary,Binkley Elementary Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1258,Locally funded,N,K,6,360,167,0,1,3,89,169,78,191,Y,
2018-2019,49,70896,6117907,Sonoma,Rincon Valley Union Elementary,Austin Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,387,26,0,4,3,20,29,25,49,Y,
2018-2019,49,70904,1,Sonoma,Roseland,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0,0,0,0,0,2,2,Y,
2018-2019,49,70904,101923,Sonoma,Roseland,Roseland Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,558,Directly funded,N,K,12,"1,500","1,338",1,14,38,437,"1,341",435,"1,362",Y,
2018-2019,49,70904,125336,Sonoma,Roseland,Roseland Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,367,328,1,4,13,134,333,253,350,Y,
2018-2019,49,70904,6052088,Sonoma,Roseland,Roseland Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,549,507,2,9,34,226,514,435,535,Y,
2018-2019,49,70904,6052096,Sonoma,Roseland,Sheppard Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,493,447,2,1,13,167,449,380,478,Y,
2018-2019,49,70912,1,Sonoma,Santa Rosa Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,3,0,0,0,8,9,2,10,Y,
2018-2019,49,70912,113530,Sonoma,Santa Rosa Elementary,Santa Rosa Charter School for the Arts,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,845,Locally funded,N,K,8,400,136,4,0,2,110,148,27,159,Y,
2018-2019,49,70912,125831,Sonoma,Santa Rosa Elementary,Santa Rosa French-American Charter (SRFACS),Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1397,Locally funded,N,K,6,465,83,0,0,1,59,92,73,140,Y,
2018-2019,49,70912,128074,Sonoma,Santa Rosa Elementary,Cesar Chavez Language Academy,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1523,Locally funded,N,K,8,368,195,0,0,8,107,209,170,258,Y,
2018-2019,49,70912,6052104,Sonoma,Santa Rosa Elementary,Brook Hill Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,388,322,3,0,19,165,332,260,364,Y,
2018-2019,49,70912,6052112,Sonoma,Santa Rosa Elementary,Luther Burbank Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,315,240,1,0,12,102,248,179,286,Y,
2018-2019,49,70912,6052153,Sonoma,Santa Rosa Elementary,Abraham Lincoln Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,284,188,3,0,13,106,199,193,262,Y,
2018-2019,49,70912,6052161,Sonoma,Santa Rosa Elementary,James Monroe Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,402,317,0,1,18,153,327,260,372,Y,
2018-2019,49,70912,6052179,Sonoma,Santa Rosa Elementary,Proctor Terrace Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,404,134,0,1,2,85,139,37,148,Y,
2018-2019,49,70912,6052195,Sonoma,Santa Rosa Elementary,Steele Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,413,282,1,1,4,145,296,225,351,Y,
2018-2019,49,70912,6066385,Sonoma,Santa Rosa Elementary,Helen M. Lehman Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,508,349,4,0,8,157,362,304,439,Y,
2018-2019,49,70912,6095459,Sonoma,Santa Rosa Elementary,Hidden Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,531,143,2,1,3,82,153,84,183,Y,
2018-2019,49,70912,6108500,Sonoma,Santa Rosa Elementary,Albert F. Biella Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,330,208,6,1,12,106,216,138,251,Y,
2018-2019,49,70912,6116958,Sonoma,Santa Rosa Elementary,Kid Street Learning Center Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,215,Directly funded,Y,K,8,116,84,8,23,0,64,84,16,84,Y,
2018-2019,49,70920,1,Sonoma,Santa Rosa High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,3,3,2,0,12,15,8,21,Y,
2018-2019,49,70920,102533,Sonoma,Santa Rosa High,Santa Rosa Accelerated Charter,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,522,Locally funded,N,5,6,128,13,0,0,0,10,13,4,17,Y,
2018-2019,49,70920,4930160,Sonoma,Santa Rosa High,Elsie Allen High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,042",640,12,0,39,305,702,303,800,Y,
2018-2019,49,70920,4930244,Sonoma,Santa Rosa High,Maria Carrillo High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,462",258,4,2,6,194,298,52,324,Y,
2018-2019,49,70920,4934154,Sonoma,Santa Rosa High,Montgomery High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,642",529,10,1,21,320,590,186,679,Y,
2018-2019,49,70920,4935292,Sonoma,Santa Rosa High,Piner High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,388",640,9,3,30,348,720,206,796,Y,
2018-2019,49,70920,4935607,Sonoma,Santa Rosa High,Ridgway High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,284,148,2,0,7,91,167,60,191,Y,
2018-2019,49,70920,4936803,Sonoma,Santa Rosa High,Santa Rosa High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,948",658,8,13,19,363,727,141,773,Y,
2018-2019,49,70920,6060255,Sonoma,Santa Rosa High,Lawrence Cook Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,459,316,2,0,14,162,340,193,379,Y,
2018-2019,49,70920,6060263,Sonoma,Santa Rosa High,Herbert Slater Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,766,305,4,0,5,182,340,120,373,Y,
2018-2019,49,70920,6060271,Sonoma,Santa Rosa High,Rincon Valley Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,899,157,1,0,1,125,179,35,191,Y,
2018-2019,49,70920,6060289,Sonoma,Santa Rosa High,Santa Rosa Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,548,252,6,0,9,144,285,71,309,Y,
2018-2019,49,70920,6068977,Sonoma,Santa Rosa High,Hilliard Comstock Middle,High School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,440,351,5,0,18,153,367,130,385,Y,
2018-2019,49,70938,120121,Sonoma,Sebastopol Union Elementary,REACH,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1107,Directly funded,Y,K,8,140,47,0,0,0,39,59,2,59,Y,
2018-2019,49,70938,6052211,Sonoma,Sebastopol Union Elementary,Brook Haven Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,201,112,3,3,0,60,115,26,121,Y,
2018-2019,49,70938,6052229,Sonoma,Sebastopol Union Elementary,Park Side Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,261,127,3,1,0,78,132,42,140,Y,
2018-2019,49,70938,6113039,Sonoma,Sebastopol Union Elementary,Sebastopol Independent Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,78,Directly funded,Y,K,8,293,86,0,0,0,65,94,0,94,Y,
2018-2019,49,70953,1,Sonoma,Sonoma Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,0,0,0,0,6,6,1,7,Y,
2018-2019,49,70953,105866,Sonoma,Sonoma Valley Unified,Woodland Star Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,613,Directly funded,N,K,8,251,89,1,0,0,60,106,15,108,Y,
2018-2019,49,70953,4930152,Sonoma,Sonoma Valley Unified,Creekside High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,49,35,0,0,1,18,36,10,38,Y,
2018-2019,49,70953,4937256,Sonoma,Sonoma Valley Unified,Sonoma Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,297",704,4,0,11,301,708,115,718,Y,
2018-2019,49,70953,6052245,Sonoma,Sonoma Valley Unified,Altimira Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,468,354,1,1,9,158,354,143,358,Y,
2018-2019,49,70953,6052252,Sonoma,Sonoma Valley Unified,Dunbar Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,187,154,4,0,5,68,154,107,162,Y,
2018-2019,49,70953,6052260,Sonoma,Sonoma Valley Unified,El Verano Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,363,297,1,1,7,137,297,231,312,Y,
2018-2019,49,70953,6052278,Sonoma,Sonoma Valley Unified,Flowery Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,339,216,0,0,1,96,216,157,226,Y,
2018-2019,49,70953,6052286,Sonoma,Sonoma Valley Unified,Prestwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,377,142,0,0,4,68,142,72,146,Y,
2018-2019,49,70953,6052294,Sonoma,Sonoma Valley Unified,Sassarini Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,320,283,3,0,1,120,283,206,291,Y,
2018-2019,49,70953,6111678,Sonoma,Sonoma Valley Unified,Sonoma Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,9,Directly funded,N,K,8,205,100,0,0,7,55,101,63,107,Y,
2018-2019,49,70953,6119069,Sonoma,Sonoma Valley Unified,Adele Harrison Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,424,218,0,0,5,93,219,77,222,Y,
2018-2019,49,70961,1,Sonoma,Twin Hills Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0,0,0,1,1,0,1,Y,
2018-2019,49,70961,4930319,Sonoma,Twin Hills Union Elementary,Orchard View,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,310,Locally funded,N,K,12,234,50,0,0,0,50,50,1,51,Y,
2018-2019,49,70961,4930350,Sonoma,Twin Hills Union Elementary,Sunridge Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,481,Locally funded,N,K,8,276,79,0,0,0,78,79,1,80,Y,
2018-2019,49,70961,6052302,Sonoma,Twin Hills Union Elementary,Twin Hills Charter Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,904,Locally funded,N,6,8,281,67,0,1,0,55,67,2,68,Y,
2018-2019,49,70961,6093140,Sonoma,Twin Hills Union Elementary,Apple Blossom,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,399,104,1,1,1,73,105,16,109,Y,
2018-2019,49,70979,6052310,Sonoma,Two Rock Union,Two Rock Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,154,73,1,0,12,24,74,49,81,Y,
2018-2019,49,70995,6110324,Sonoma,Waugh Elementary,Meadow Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,406,70,3,0,0,40,70,38,88,Y,
2018-2019,49,70995,6114409,Sonoma,Waugh Elementary,Corona Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,440,61,0,3,0,39,63,43,83,Y,
2018-2019,49,71001,6052336,Sonoma,West Side Union Elementary,West Side Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,178,66,0,4,6,38,66,29,71,Y,
2018-2019,49,71019,6052344,Sonoma,Wilmar Union Elementary,Wilson Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,243,69,1,0,0,44,70,23,77,Y,
2018-2019,49,71035,1,Sonoma,Wright Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,0,0,0,1,1,0,1,Y,
2018-2019,49,71035,6052377,Sonoma,Wright Elementary,Wright Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1087,Locally funded,N,K,8,456,325,1,0,6,166,327,189,353,Y,
2018-2019,49,71035,6096721,Sonoma,Wright Elementary,J. X. Wilson Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,473,294,3,0,1,169,301,182,341,Y,
2018-2019,49,71035,6111868,Sonoma,Wright Elementary,Robert L. Stevens Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,545,383,4,1,5,173,386,275,439,Y,
2018-2019,49,73882,1,Sonoma,Cotati-Rohnert Park Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,0,2,0,0,6,8,1,9,Y,
2018-2019,49,73882,123786,Sonoma,Cotati-Rohnert Park Unified,Credo High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1281,Directly funded,Y,9,12,400,117,1,1,0,62,123,2,124,Y,
2018-2019,49,73882,128330,Sonoma,Cotati-Rohnert Park Unified,University Elementary at La Fiesta,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,204,95,1,5,1,51,97,54,113,Y,
2018-2019,49,73882,128348,Sonoma,Cotati-Rohnert Park Unified,Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,396,248,7,4,2,119,249,120,279,Y,
2018-2019,49,73882,135053,Sonoma,Cotati-Rohnert Park Unified,Richard Crane Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,185,96,5,1,0,58,97,48,114,Y,
2018-2019,49,73882,4930046,Sonoma,Cotati-Rohnert Park Unified,El Camino High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,55,30,0,2,0,20,31,7,35,Y,
2018-2019,49,73882,4930384,Sonoma,Cotati-Rohnert Park Unified,Technology High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,326,52,2,0,0,36,53,0,53,Y,
2018-2019,49,73882,4935482,Sonoma,Cotati-Rohnert Park Unified,Rancho Cotate High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,505",557,9,13,8,332,568,143,636,Y,
2018-2019,49,73882,6051676,Sonoma,Cotati-Rohnert Park Unified,John Reed Primary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,340,2,0,3,160,341,287,381,Y,
2018-2019,49,73882,6060669,Sonoma,Cotati-Rohnert Park Unified,Thomas Page Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,385,258,4,6,3,110,259,173,301,Y,
2018-2019,49,73882,6097059,Sonoma,Cotati-Rohnert Park Unified,Evergreen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,484,193,4,3,0,111,196,74,214,Y,
